x,y,z,u
1.80879577, -3.07812614, -0.95970131, 0.7221158740622234
1.87226229, -3.07812614, -0.98253853, 0.6981870050611261
1.93572881, -3.07812614, -0.99621855, 0.6798099470099275
1.99919533, -3.07812614, -0.99987915, 0.6627357904611824
2.06266184, -3.07812614, -0.99276054, 0.6431980613576408
2.12612836, -3.07812614, -0.97423184, 0.6197218268755494
2.18959488, -3.07812614, -0.94381744, 0.5886998529326148
2.2530614, -3.07812614, -0.90122204, 0.5518050285409467
2.31652792, -3.07812614, -0.84635387, 0.5049652146770555
2.37999443, -3.07812614, -0.77934514, 0.45697110766502375
2.44346095, -3.07812614, -0.70056881, 0.40601991442036683
2.50692747, -3.07812614, -0.61065089, 0.3503691388964669
2.57039399, -3.07812614, -0.51047754, 0.2954103168342158
2.63386051, -3.07812614, -0.40119618, 0.24059783078837668
2.69732703, -3.07812614, -0.28421019, 0.19783087711132757
2.76079354, -3.07812614, -0.16116651, 0.1495133036722299
2.82426006, -3.07812614, -0.03393621, 0.11661175881950826
2.88772658, -3.07812614, 0.09541231, 0.07930685789060968
2.9511931, -3.07812614, 0.22464723, 0.057019877730172364
3.01465962, -3.07812614, 0.35141394, 0.03591960125250342
3.07812614, -3.07812614, 0.47328184, 0.02381577530225168
3.14159265, -3.07812614, 0.58779637, 0.012518866645905655
-3.14159265, -3.01465962, 0.4757251, 0.023447128750361947
-3.07812614, -3.01465962, 0.35141394, 0.03678727556674768
-3.01465962, -3.01465962, 0.22188471, 0.05952598114941728
-2.9511931, -3.01465962, 0.08970947, 0.08744679286314047
-2.88772658, -3.01465962, -0.0426108, 0.11971693653349463
-2.82426006, -3.01465962, -0.17269779, 0.16601322294940113
-2.76079354, -3.01465962, -0.29834116, 0.21079992449350549
-2.69732703, -3.01465962, -0.41753655, 0.269383312415243
-2.63386051, -3.01465962, -0.52851618, 0.3241444686775291
-2.57039399, -3.01465962, -0.6297714, 0.38026489211205716
-2.50692747, -3.01465962, -0.72006759, 0.4449718458541571
-2.44346095, -3.01465962, -0.79845125, 0.503862001189085
-2.37999443, -3.01465962, -0.86425001, 0.556615835388846
-2.31652792, -3.01465962, -0.91706589, 0.6026048763221394
-2.2530614, -3.01465962, -0.95676278, 0.6410017946566069
-2.18959488, -3.01465962, -0.98344869, 0.6715403753224943
-2.12612836, -3.01465962, -0.99745394, 0.6963000167059733
-2.06266184, -3.01465962, -0.99930604, 0.7176362975063422
-1.99919533, -3.01465962, -0.98970225, 0.7394257074097408
-1.93572881, -3.01465962, -0.96948078, 0.7663028071589821
-1.87226229, -3.01465962, -0.93959148, 0.7983386031111882
-1.80879577, -3.01465962, -0.90106681, 0.8392525781615465
-1.74532925, -3.01465962, -0.85499378, 0.8881827688515537
-1.68186273, -3.01465962, -0.80248758, 0.9432521710682796
-1.61839622, -3.01465962, -0.7446673, 1.006131567158063
-1.5549297, -3.01465962, -0.68263419, 1.0773554998468096
-1.49146318, -3.01465962, -0.61745274, 1.1495075160496797
-1.42799666, -3.01465962, -0.55013472, 1.236978075951025
-1.36453014, -3.01465962, -0.48162631, 1.3226334032486557
-1.30106362, -3.01465962, -0.41279828, 1.4120757422700776
-1.23759711, -3.01465962, -0.3444391, 1.5141831599036657
-1.17413059, -3.01465962, -0.2772508, 1.6136149051634259
-1.11066407, -3.01465962, -0.21184743, 1.7143807969163023
-1.04719755, -3.01465962, -0.14875572, 1.812627006109855
-0.98373103, -3.01465962, -0.08841785, 1.9185774019726767
-0.92026451, -3.01465962, -0.03119574, 2.0156576037462517
-0.856798, -3.01465962, 0.02262315, 2.1169204003203386
-0.79333148, -3.01465962, 0.07281915, 2.211131621912077
-0.72986496, -3.01465962, 0.11923279, 2.3024548204438213
-0.66639844, -3.01465962, 0.16175688, 2.387203265691294
-0.60293192, -3.01465962, 0.20032833, 2.464693489649052
-0.53946541, -3.01465962, 0.23492001, 2.538248338526904
-0.47599889, -3.01465962, 0.26553284, 2.602596591059095
-0.41253237, -3.01465962, 0.29218827, 2.6606011464191783
-0.34906585, -3.01465962, 0.31492131, 2.7104684755976507
-0.28559933, -3.01465962, 0.33377424, 2.7519317630910387
-0.22213281, -3.01465962, 0.34879104, 2.7857537496065072
-0.1586663, -3.01465962, 0.36001268, 2.8110536313941736
-0.09519978, -3.01465962, 0.3674733, 2.8279340130099366
-0.03173326, -3.01465962, 0.37119726, 2.836397977955791
0.03173326, -3.01465962, 0.37119726, 2.8364126246470662
0.09519978, -3.01465962, 0.3674733, 2.8279721896896453
0.1586663, -3.01465962, 0.36001268, 2.811134201539686
0.22213281, -3.01465962, 0.34879104, 2.7859000457723577
0.28559933, -3.01465962, 0.33377424, 2.752180121377325
0.34906585, -3.01465962, 0.31492131, 2.7101005526162196
0.41253237, -3.01465962, 0.29218827, 2.6609040753481805
0.47599889, -3.01465962, 0.26553284, 2.6026610192680533
0.53946541, -3.01465962, 0.23492001, 2.5365124317547445
0.60293192, -3.01465962, 0.20032833, 2.4654729093626506
0.66639844, -3.01465962, 0.16175688, 2.386288959158127
0.72986496, -3.01465962, 0.11923279, 2.3019410752984912
0.79333148, -3.01465962, 0.07281915, 2.2121081596425127
0.856798, -3.01465962, 0.02262315, 2.1192603549498683
0.92026451, -3.01465962, -0.03119574, 2.01738432271714
0.98373103, -3.01465962, -0.08841785, 1.9196810108684759
1.04719755, -3.01465962, -0.14875572, 1.8131414857903707
1.11066407, -3.01465962, -0.21184743, 1.7140219946938713
1.17413059, -3.01465962, -0.2772508, 1.6130845395172817
1.23759711, -3.01465962, -0.3444391, 1.5109789254300958
1.30106362, -3.01465962, -0.41279828, 1.4176474437435358
1.36453014, -3.01465962, -0.48162631, 1.3254901027388721
1.42799666, -3.01465962, -0.55013472, 1.2345402406818595
